"signature","major_cancer_type","n_msi","n_mss","msi_pos","msi_neg","mss_pos","mss_neg","msi_pos_rate","mss_pos_rate","odds_ratio","p_value","p_adj"
"C_ID11/InsDel11","Other",3,350,0,3,1,349,0,0.00285714285714286,0,1,1
"C_ID17/InsDel17","Other",3,350,0,3,3,347,0,0.00857142857142857,0,1,1
"C_ID18/InsDel18","Other",3,350,0,3,3,347,0,0.00857142857142857,0,1,1
"C_ID19/InsDel19a","Other",3,350,0,3,3,347,0,0.00857142857142857,0,1,1
"C_ID23/InsDel23","Other",3,350,0,3,1,349,0,0.00285714285714286,0,1,1
"ID_A/InsDel_A_alpha","Other",3,350,0,3,15,335,0,0.0428571428571429,0,1,1
"ID_B/InsDel_B","Other",3,350,0,3,81,269,0,0.231428571428571,0,1,1
"ID_G/InsDel_G","Other",3,350,0,3,8,342,0,0.0228571428571429,0,1,1
"ID_H/InsDel_H","Other",3,350,0,3,1,349,0,0.00285714285714286,0,1,1
"ID_K/InsDel_K","Other",3,350,0,3,1,349,0,0.00285714285714286,0,1,1
"ID_M/InsDel_M","Other",3,350,0,3,1,349,0,0.00285714285714286,0,1,1
"ID_N/InsDel_N_alpha","Other",3,350,0,3,1,349,0,0.00285714285714286,0,1,1
"C_ID1/InsDel1b","Prostate",19,682,0,19,16,666,0,0.0234604105571848,0,1,1
"ID_E/InsDel_E","Prostate",19,682,0,19,8,674,0,0.0117302052785924,0,1,1
"ID_F/InsDel_F","Prostate",19,682,0,19,9,673,0,0.0131964809384164,0,1,1
"ID_N/InsDel_N_alpha","Prostate",19,682,0,19,6,676,0,0.00879765395894428,0,1,1
"C_ID2/InsDel2b","Skin",2,430,0,2,2,428,0,0.00465116279069767,0,1,1
"C_ID4/InsDel4","Skin",2,430,0,2,28,402,0,0.0651162790697674,0,1,1
"C_ID5/InsDel5b","Skin",2,430,0,2,1,429,0,0.00232558139534884,0,1,1
"C_ID10/InsDel10","Skin",2,430,0,2,8,422,0,0.0186046511627907,0,1,1
"C_ID14/InsDel14","Skin",2,430,0,2,2,428,0,0.00465116279069767,0,1,1
"C_ID17/InsDel17","Skin",2,430,0,2,1,429,0,0.00232558139534884,0,1,1
"ID_C/InsDel_C","Skin",2,430,0,2,1,429,0,0.00232558139534884,0,1,1
"ID_F/InsDel_F","Skin",2,430,0,2,8,422,0,0.0186046511627907,0,1,1
"ID_G/InsDel_G","Skin",2,430,0,2,1,429,0,0.00232558139534884,0,1,1
"C_ID1/InsDel1b","Bladder",3,195,0,3,1,194,0,0.00512820512820513,0,1,1
"C_ID1/InsDel1c","Bladder",3,195,0,3,8,187,0,0.041025641025641,0,1,1
"C_ID3/InsDel3a","Bladder",3,195,0,3,27,168,0,0.138461538461538,0,1,1
"C_ID4/InsDel4","Bladder",3,195,0,3,7,188,0,0.0358974358974359,0,1,1
"C_ID5/InsDel5a","Bladder",3,195,0,3,16,179,0,0.0820512820512821,0,1,1
"C_ID5/InsDel5b","Bladder",3,195,0,3,1,194,0,0.00512820512820513,0,1,1
"C_ID5/InsDel5c","Bladder",3,195,0,3,4,191,0,0.0205128205128205,0,1,1
"C_ID6/InsDel6","Bladder",3,195,0,3,17,178,0,0.0871794871794872,0,1,1
