"signature","group","OR","p","n_in_grp_present","FDR"
"InsDel_B","Liver",3.87609889867789,3.43734905798312e-32,162,7.21843302176455e-31
"InsDel_C","Liver",0,0.11218869194156,0,0.216143351447042
"InsDel_D","Liver",0.192413915093157,0.00641867320566788,2,0.0185920189405552
"InsDel_E","Liver",0.200282647953023,0.0912500754439609,1,0.180778451351243
"InsDel_F","Liver",0.207617159551735,0.0901447277653139,1,0.180535504253113
"InsDel_G","Liver",0.642717506720066,0.768881614550509,2,0.865764820673496
"InsDel_H","Liver",0.368660160504648,0.51912485152689,1,0.656531543535282
"InsDel_I","Liver",0,0.621837628449722,0,0.75090039997693
"InsDel_J","Liver",0,0.00285325986932971,0,0.00943638488240708
"InsDel_K","Liver",0,0.633926579460669,0,0.75090039997693
"InsDel_L","Liver",0,0.407833888577984,0,0.55254913936372
"InsDel_M","Liver",0,0.629712105496979,0,0.75090039997693
"InsDel_N_alpha","Liver",0.283446222886902,0.260523047724389,1,0.418486937398355
"InsDel_N_beta","Liver",0.0366657923787877,9.21361386503201e-66,9,4.29968647034827e-64
"InsDel1a","Lung",1.04135411210596,0.662182265132254,321,0.774724888770678
"InsDel1b","Lung",0.0705355359230571,4.1702079141208e-05,1,0.000173414586527796
"InsDel1c","Lung",0.673841772107935,0.0272833799509956,34,0.0662371073954807
"InsDel2a","Lung",1.11007390093534,0.634689623790024,22,0.75090039997693
"InsDel2b","Lung",0.116667388063268,0.00430712089641013,1,0.0131086288151613
"InsDel2c","Lung",0.347458141937247,0.0629375110908292,3,0.135123782069692
"InsDel3a","Lung",1.1285712325456,0.676391876479497,7,0.789123855892747
"InsDel3b","Lung",28.8930994854182,4.26791328850755e-255,387,8.96261790586586e-253
"InsDel4","Lung",0.58274646734567,0.000628586597942446,42,0.00229570757509415
"InsDel5a","Lung",0.563209173087369,1.55258046767352e-05,61,6.64781980882236e-05
"InsDel5b","Lung",0.544037542942002,0.488846273247171,3,0.629991609827891
"InsDel5c","Lung",0.512551099224656,0.104151105788543,7,0.205368377611211
"InsDel6","Lung",0.85899848667335,0.376633919481304,49,0.529050990575744
"InsDel7","Lung",0.741153243765848,0.46492780383445,10,0.612130650816517
"InsDel8","Lung",0.481005048210315,0.00375273642601468,15,0.0117307939833702
"InsDel9","Lung",1.02468717579414,0.814261601959159,96,0.893088597670612
"InsDel10","Lung",0.361652164062721,0.00686744981790771,6,0.0194887089427111
"InsDel11","Lung",0.87642020793214,1,3,1
"InsDel12","Lung",0,0.000501468886201023,0,0.00184751694916166
"InsDel13","Lung",0,9.6059096146274e-14,0,8.40517091279897e-13
"InsDel14","Lung",0.219261194921229,1.01546906809429e-06,7,5.01761186587766e-06
